(1)Avanti Sensor,,,
EMG 1 (1925.926),ACC X (148.148),ACC Y (148.148),ACC Z (148.148)
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,6.1875,-2.5625,4.0625
0.0,6.125,-2.59375,4.0625
0.0,6.21875,-2.6875,4.03125
0.0,6.125,-2.4375,4.0
0.0,6.46875,-2.4375,3.875
0.0,6.4375,-2.28125,3.9375
0.0,6.625,-2.3125,3.84375
0.0,6.4375,-2.375,3.71875
0.0,6.46875,-2.3125,3.65625
0.0,6.46875,-2.34375,3.6875
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.84375,-0.28125,0.40625
0.0,0.875,-0.25,0.34375
0.0,0.90625,-0.25,0.3125
0.0,0.78125,-0.34375,0.5
0.0,0.8125,-0.3125,0.375
0.0,0.8125,-0.28125,0.34375
0.0,0.84375,-0.3125,0.375
0.0,0.84375,-0.28125,0.375
0.0,0.8125,-0.28125,0.40625
0.0,0.84375,-0.28125,0.40625
0.0,0.8125,-0.28125,0.375
0.0,0.8125,-0.25,0.375
0.0,0.84375,-0.25,0.375
0.0,0.8125,-0.25,0.375
0.0,0.84375,-0.25,0.375
0.0,0.84375,-0.25,0.375
0.0,0.84375,-0.25,0.34375
0.0,0.875,-0.25,0.34375
0.0,0.875,-0.25,0.34375
0.0,0.875,-0.25,0.34375
0.0,0.875,-0.25,0.34375
0.0,0.875,-0.25,0.375
0.0,0.84375,-0.28125,0.375
0.0,0.84375,-0.28125,0.375
0.0,0.84375,-0.28125,0.375
0.0,0.8125,-0.28125,0.375
0.0,0.8125,-0.3125,0.375
0.0,0.8125,-0.28125,0.375
0.0,0.8125,-0.28125,0.34375
0.0,0.8125,-0.28125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.84375,-0.34375,0.34375
0.0,0.84375,-0.3125,0.34375
0.0,0.84375,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.34375,0.34375
0.0,0.8125,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.3125,0.3125
0.0,0.875,-0.34375,0.3125
0.0,0.875,-0.34375,0.3125
0.0,0.875,-0.34375,0.3125
0.0,0.84375,-0.3125,0.3125
0.0,0.875,-0.3125,0.34375
0.0,0.84375,-0.3125,0.34375
0.0,0.84375,-0.3125,0.375
0.0,0.84375,-0.3125,0.34375
0.0,0.84375,-0.3125,0.34375
0.0,0.84375,-0.34375,0.34375
0.0,0.84375,-0.34375,0.34375
0.0,0.875,-0.375,0.3125
0.0,0.875,-0.375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.3125
0.0,0.84375,-0.34375,0.34375
0.0,0.84375,-0.3125,0.3125
0.0,0.8125,-0.3125,0.3125
0.0,0.8125,-0.3125,0.3125
0.0,0.8125,-0.3125,0.34375
0.0,0.84375,-0.3125,0.34375
0.0,0.8125,-0.3125,0.34375
0.0,0.8125,-0.34375,0.34375
0.0,0.8125,-0.34375,0.34375
0.0,0.8125,-0.34375,0.3125
0.0,0.8125,-0.34375,0.3125
0.0,0.8125,-0.34375,0.3125
0.0,0.84375,-0.34375,0.28125
0.0,0.84375,-0.34375,0.28125
0.0,0.875,-0.375,0.28125
0.0,0.90625,-0.34375,0.25
0.0,0.90625,-0.34375,0.25
0.0,0.90625,-0.34375,0.21875
0.0,0.9375,-0.375,0.25
0.0,0.90625,-0.375,0.25
0.0,0.90625,-0.375,0.25
0.0,0.90625,-0.34375,0.21875
0.0,0.90625,-0.34375,0.21875
0.0,0.90625,-0.34375,0.21875
0.0,0.9375,-0.34375,0.1875
0.0,0.96875,-0.40625,0.1875
0.0,0.9375,-0.3125,0.15625
0.0,0.90625,-0.21875,0.15625
0.0,0.90625,-0.21875,0.125
0.0,0.90625,-0.21875,0.125
0.0,0.90625,-0.25,0.15625
0.0,0.9375,-0.25,0.15625
0.0,0.9375,-0.21875,0.125
0.0,0.96875,-0.15625,0.09375
0.0,0.875,-0.15625,0.1875
0.0,0.90625,-0.3125,0.15625
0.0,0.9375,-0.28125,0.15625
0.0,0.90625,-0.1875,0.125
0.0,0.875,-0.15625,0.09375
0.0,0.9375,-0.1875,0.125
0.0,0.9375,-0.1875,0.125
0.0,0.96875,-0.1875,0.15625
0.0,0.9375,-0.15625,0.125
0.0,0.8125,0.65625,-0.21875
0.0,1.125,-0.15625,0.21875
0.0,1.03125,-0.5625,0.3125
0.0,0.875,-0.4375,0.15625
0.0,0.875,-0.3125,0.125
0.0,0.9375,-0.25,0.125
0.0,0.96875,-0.21875,0.125
0.0,0.96875,-0.21875,0.0625
0.0,0.9375,-0.21875,0.0625
0.0,0.9375,-0.25,0.09375
0.0,0.9375,-0.25,0.125
0.0,0.9375,-0.28125,0.125
0.0,0.9375,-0.25,0.125
0.0,0.9375,-0.25,0.125
0.0,0.9375,-0.25,0.09375
0.0,0.9375,-0.25,0.09375
0.0,0.9375,-0.28125,0.125
0.0,0.9375,-0.28125,0.15625
0.0,0.9375,-0.25,0.15625
0.0,0.90625,-0.25,0.15625
0.0,0.90625,-0.21875,0.15625
0.0,0.9375,-0.21875,0.1875
0.0,0.90625,-0.21875,0.1875
0.0,0.875,-0.21875,0.1875
0.0,0.84375,-0.21875,0.21875
0.0,0.875,-0.21875,0.1875
0.0,0.90625,-0.21875,0.21875
0.0,0.875,-0.21875,0.21875
0.0,0.875,-0.25,0.25
0.0,0.875,-0.21875,0.1875
0.0,0.875,-0.21875,0.15625
0.0,0.90625,-0.25,0.1875
0.0,0.9375,-0.25,0.1875
0.0,0.96875,-0.25,0.1875
0.0,1.0,-0.25,0.15625
0.0,1.03125,-0.25,0.15625
0.0,1.0,-0.25,0.15625
0.0,0.96875,-0.21875,0.15625
0.0,0.96875,-0.1875,0.1875
0.0,0.9375,-0.1875,0.21875
0.0,0.9375,-0.1875,0.25
0.0,0.9375,-0.1875,0.25
0.0,0.9375,-0.21875,0.25
0.0,0.9375,-0.21875,0.25
0.0,0.9375,-0.25,0.25
0.0,0.9375,-0.25,0.28125
